Group Number,RecordID,Address,Master_Property Name,Master_Units_50+
1,5664079,"1 Church St, San Francisco, CA 94114-1180",One Church Street Apartments,93
1,9347209,"1 Church St, San Francisco, CA 94114-1180",One Church Street Apartments,93
2,13899835,"1 Matthew ST, Concord, NH 03301",Alden Place,10
2,13900976,"1 Matthew ST, Concord, NH 03301",Alden Place,5
3,1473699,"10 E Mulberry St, Baltimore, MD 21202",,5
3,19315845,"10 E Mulberry St, Baltimore, MD 21202",,1
4,13840169,"10 Kinston Manor Dr, Westminster, SC 29693",Lake Hartwell Villas,108
4,21157053,"10 Kinston Manor Dr, Westminster, SC 29693",Lake Hartwell Villas,32
5,12692475,"10 Smith Manor Blvd, West Orange, NJ 07052-4223",Crown View Manor,179
5,9009507,"10 Smith Manor Blvd, West Orange, NJ 07052-4223",Crown View Manor,179
6,11493646,"10 W Chase St, Baltimore, MD 21201-5497",The Calvert School Apartments,13
6,9085100,"10 W Chase St, Baltimore, MD 21201-5497",The Calvert School Apartments,13
7,12342172,"100 E Kennedy Blvd, Eatonville, FL 32751-5348",,342
7,12342183,"100 E Kennedy Blvd, Eatonville, FL 32751-5348",,34
8,12660953,"100 E Station St, Barrington, IL 60010",Cook Street Plaza,21
8,6609187,"100 E Station St, Barrington, IL 60010",Cook Street Plaza,21
9,4501605,"100 Lawrence St, Haverhill, MA 01830-3352",,
9,4501606,"100 Lawrence St, Haverhill, MA 01830-3352",,22
10,12711882,"100-150 Oceana Dr W, Brooklyn, NY 11235-7048",,104
10,15864847,"100-150 Oceana Dr W, Brooklyn, NY 11235-7048",,927
