RecordID,Address,Property Name,Ownership Type
000525156,"100 Portofino Drive, Palm Beach Gardens, FL 33418-1231, USA",San Merano at Mirasol,APT
000616736,"1000 Vista Lake Drive, Candler, NC 28715-7167, USA",Seasons at Biltmore Lake,APT
000623305,"10000 Northwest 45th Terrace, Doral, FL 33178-3300, USA","Valencia At Doral,Valencia At Doral Fractured Units",APT
000969810,"1006 Bay Drive, Miami Beach, FL 33141-3708, USA",1006-1022 Bay Drive,APT
001296557,"101 South 12th Street, Tampa, FL 33602-4207, USA",Victory Lofts,COA
001299095,"POLYNESIAN VILLAGERS ASSOCIATION INC, 101 South Fiji Circle, Englewood, FL 34223-6215, USA",POLYNESIAN VILLAGERS ASSOCIATION INC.,HOA
001391275,"10100 Hillview Drive, North Northwest Pensacola, FL 32514-5436, USA",Azalea Trace,COA
001627414,"DEER CREEK RV GOLF & COUNTRY CLUB INC, 1014 Saint George Drive, Davenport, FL 33837-2542, USA",DEER CREEK RV GOLF & COUNTRY CLUB INC,HOA
001675571,"PIEDMONT CONDOMINIUM LLC, 1015 Piedmont Avenue Northeast, Atlanta, GA 30309-3779, USA",PIEDMONT CONDOMINIUM LLC,COA
002031800,"1020 Capri Isles Boulevard, Venice, FL 34292-4471, USA",Clubside Apartment Homes,APT
002199923,"10225 Wortham Boulevard, Houston, TX 77065-3393, USA",Wynnewood at Wortham Apartments,APT
002660567,"10303 Burnt Store Road, Punta Gorda, FL 33950-7940, USA",EAGLE POINT HOMEOWNERS INC,HOA
004550080,"10701 South Ocean Drive, Hutchinson Island South, FL 34957-2683, USA",VENTURE THREE,HOA
004728129,"10771 North Kendall Drive, Florida 33176-1441, USA",Legacy at the Palms,APT
005347323,"10901 Burnt Mill Road, Jacksonville, FL 32256-2872, USA",Heritage Deerwood,APT
005482992,"10955 Moss Park Road, Orlando, FL 32832-5837, USA",The Oasis at Moss Park,APT
005533569,"THE TURKEY CREEK HOMEOWNERS ASSOCIATION, INC, 1099 Mandarin Drive Northeast, Palm Bay, FL 32905-4706, USA","THE TURKEY CREEK HOMEOWNERS ASSOCIATION, INC.,",HOA
005690290,"11 Parklands Drive, Bluffton, SC 29910-5177, USA",One Hampton Lake,APT
006130483,"11026 West Ocean Air Drive, San Diego, CA 92130-4672, USA",Torrey Hills,APT
007417371,"11230 Trevi Village Boulevard, Charlotte, NC 28262-0138, USA",Trevi Vibrant Senior Living,APT
007771487,"11300 124th Avenue North, Largo, FL 33778-2756, USA",BEL-AIRE MOBILE HOME OWNERS IN,HOA
008203803,"1140 South Orlando Avenue, Maitland, FL 32751-6403, USA",Lake Maitland Terrace Condos,COA
008373716,"11450 Morris Road, Alpharetta, GA 30005-4574, USA",Inspired Living at Alpharetta,APT
008840731,"11580 Wild Pine, San Antonio, TX 78253-6633, USA",Vista Pointe at Wild Pines,APT
009805139,"11850 Southwest 216th Street, Florida 33170-2956, USA",Meridian Point at Goulds Station,APT
009983191,"1190 East Washington Street, Tampa, FL 33602-3706, USA",The Slade at Channelside,APT
009991110,"11900 City Park Central Lane, Houston, TX 77047-3284, USA",Ranch at City Park,APT
010153239,"The Grande Santa Fe Place, 1199 Pacific Highway, San Diego, CA 92101-3452, USA",The Grande Santa Fe Place,COA
