MDU,HW_Property Name,Address,RecordID,Zip
"F0391, F0392",1 HOTEL SOUTH BEACH RESIDENTIA,"2399 Collins Avenue, Miami Beach, FL 33139-1619, USA",040582296,33139
F0628,1000 MUSEUM,"1000 Biscayne Boulevard, Miami, FL 33132-1760, USA",000580189,33132
F0472,101 VIA MIZNER,"101 East Camino Real, Boca Raton, FL 33432-6167, USA",001211699,33432
F0536,111 FIRST DELRAY BEACH,"111 Southeast 1st Avenue, Delray Beach, FL 33444-3676, USA",006600085,33444
F1500,1110 NW 7TH ST - PROPOLIS,"1110 Northwest 7th Street PROPOLIS, Miami, FL 33136-3612, USA",,
F0626,115 SUNRISE CONDO,"115 Sunrise Drive CONDO, Key Biscayne, FL 33149-1902, USA",,
F0412,1215 ON WEST,1215 WEST AVE 33139,011390003,33139
F1170,1625 OCEAN,"1625 OCEAN, South Ocean Boulevard, Delray Beach, FL 33483-6517, USA",,
F0834,17 WEST,1220 17TH ST 33139,011629809,33139
F1557,1800 ATLANTIC KEY WEST,"1800 Atlantic Boulevard, Key West, FL 33040-5388, USA",027825487,33040
F0120,200 EAST PALMETTO PARK,"200 East Palmetto Park Road, Boca Raton, FL 33432-5623, USA",031914358,33432
F1149,200 LESLIE,"200 Leslie Drive, Hallandale Beach, FL 33009-7311, USA",031939839,33009
F0945,2000 OCEAN CONDOMINIUM,"2000 South Ocean Drive, Hallandale Beach, FL 33009-6799, USA",032026587,33009
F1009,2080 OCEAN DRIVE,"2080 South Ocean Drive, Hallandale Beach, FL 33009-6677, USA",034211905,33009
F0537,2100 CONDOMINIUM,"2100 South Ocean Boulevard, Palm Beach, FL 33480-5216, USA",034777861,33480
F1132,228 PROPOLIS,"228 PROPOLIS, Miami, FL 33128, USA",,
F0604,2500 BISCAYNE,"2500 Biscayne Boulevard, Miami, FL 33137-4504, USA",042390480,33137
F0612,26 EDGEWATER,"321 Northeast 26th Street, Miami, FL 33137-4745, USA",052885398,33137
F0561,3 ISLAND,"3 Island Avenue, Miami Beach, FL 33139-1352, USA",048775944,33139
F0696,3030 N OCEAN CONDO,3030 N OCEAN BLVD 33308,049853912,33308
F0587,3200 INC,"3200 South Ocean Boulevard, Palm Beach, FL 33480-5630, USA",052708877,33480
F0557,327 ROYAL PALM,327 E ROYAL PALM RD 33432,053668672,33432
F1879,3560 CONDOMINIUM,"3560 South Ocean Boulevard, South Palm Beach, FL 33480-5772, USA",057001997,33480
F1623,360 CONDOMINIUM - BUILDING A,"360 CONDOMINIUM, BUILDING A, North Bay Village, FL 33141, USA",,
F1624,360 CONDOMINIUM - BUILDING B,"360 CONDOMINIUM, BUILDING B, North Bay Village, FL 33141, USA",,
F1625,360 CONDOMINIUM - BUILDING C,"360 CONDOMINIUM, BUILDING C, North Bay Village, FL 33141, USA",,
F1018,475 ROYAL PALM,475 E ROYAL PALM RD 33432,068706267,33432
F0200,500 BRICKELL,"500 Brickell Avenue, Miami, FL 33131-2576, USA",070514318,33131
F0598,500 BRICKELL WEST,"55 Southeast 6th Street, Miami, FL 33131-2560, USA",075140871,33131
F1727,5000 BAYVIEW,"41214 Fisher Island Drive, Florida 33109-1255, USA",063041789,33109
F1728,5100 BAYVIEW,"5031 Fisher Island Drive, Fisher Island, FL 33109, USA",107297576,33109
F1729,5200 BAYVIEW III,"5031 Fisher Island Drive, Fisher Island, FL 33109, USA",107297576,33109
F0750,5250 PARK,"5250 Northwest 84th Avenue, Doral, FL 33166-5308, USA",073381725,33166
F0439,5252 PASEO CONDO,"5252 Northwest 85th Avenue, Doral, FL 33166-5321, USA",073389986,33166
F0440,5300 PASEO CONDO,"5300 Northwest 85th Avenue, Doral, FL 33166-5313, USA",073742167,33166
F0754,5350 PARK CONDO,"5350 Northwest 84th Avenue, Doral, FL 33166-3339, USA",074173986,33166
F1412,57 OCEAN,"5775 Collins Avenue, Miami Beach, FL 33140-2317, USA",076819308,33140
F0669,6080 COLLINS BEACH HOUSE,"6080 Collins Avenue, Miami Beach, FL 33140-2215, USA",079130229,33140
F1499,626 NW 11TH AVE - PROPOLIS,"626 Northwest 11th Avenue PROPOLIS, Miami, FL 33136-3814, USA",,
